h,v,alpha,omega/3,beta,omega/6
0,4,1,1,1,1
2,8,1,1,1,1
4,12,2,2,2,1
6,16,3,3,3,2
8,20,2,2,2,1
10,24,4,4,3,2
12,28,4,3,3,2
14,32,5,5,5,3
16,36,5,5,4,3
18,40,6,6,4,3
20,44,4,4,3,2
22,48,10,10,8,5
24,52,6,5,4,3
26,56,8,8,5,4
28,60,8,8,6,4
30,64,11,11,9,6
32,68,6,6,4,3
34,72,13,13,8,7
36,76,8,7,5,4
38,80,14,14,10,7
40,84,12,11,8,6
42,88,12,12,7,6
44,92,8,8,5,4
46,96,20,20,15,10
48,100,11,11,7,6
50,104,14,14,8,7
52,108,14,14,9,7
54,112,20,19,13,10
56,116,10,10,6,5
58,120,24,24,14,12
60,124,12,11,7,6
62,128,21,21,15,11
64,132,16,16,10,8
66,136,18,18,10,9
68,140,16,16,10,8
70,144,31,31,20,16
72,148,14,13,8,7
74,152,20,20,11,10
76,156,20,19,12,10
78,160,30,30,20,15
80,164,14,14,8,7
82,168,32,32,18,16
84,172,16,15,9,8
86,176,28,28,17,14
88,180,26,26,16,13
90,184,24,24,13,12
92,188,16,16,9,8
94,192,42,42,28,21
96,196,21,19,12,10
98,200,31,31,17,16
100,204,24,24,14,12
102,208,34,33,20,17
104,212,18,18,10,9
106,216,40,40,22,20
108,220,24,24,14,12
110,224,40,40,25,20
112,228,28,27,16,14
114,232,30,30,16,15
116,236,20,20,11,10
118,240,56,56,34,28
120,244,22,21,12,11
122,248,32,32,17,16
124,252,36,35,21,18
126,256,43,43,27,22
128,260,28,28,16,14
130,264,48,48,26,24
132,268,24,23,13,12
134,272,42,42,24,21
136,276,32,32,18,16
138,280,48,48,26,24
140,284,24,24,13,12
142,288,65,65,40,33
144,292,26,25,14,13
146,296,38,38,20,19
148,300,42,42,24,21
150,304,48,47,27,24
152,308,32,32,18,16
154,312,56,56,30,28
156,316,28,27,15,14
158,320,62,62,38,31
160,324,41,41,23,21
162,328,42,42,22,21
164,332,28,28,15,14
166,336,76,75,44,38
168,340,36,36,20,18
170,344,44,44,23,22
172,348,40,40,22,20
174,352,60,60,35,30
176,356,30,30,16,15
178,360,78,78,42,39
180,364,40,38,22,19
182,368,56,56,31,28
184,372,44,43,24,22
186,376,48,48,25,24
188,380,40,40,22,20
190,384,84,84,51,42
192,388,34,33,18,17
194,392,57,57,30,29
196,396,52,52,29,26
198,400,73,73,41,37
200,404,34,34,18,17
